District_code,State_name,District_name,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,229064,190899,38165,34680,56759,7946,37128,823286,1700,5600,66,39,74948,39709,21751,600759,178435,89679
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,214866,162578,52288,55299,36630,29102,10110,736054,1489,5559,47,6,66459,41367,27950,503223,160933,88978
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,75079,53265,21814,20869,1645,1020,22882,19057,658,1092,88635,103,16265,8923,6197,70703,41515,21019
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,51873,39839,12034,8266,3763,1222,10341,108239,604,1171,20126,28,16938,9826,3077,87532,35561,17488
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,161393,117677,43716,54264,31583,3930,32604,431279,958,11188,83,10,46062,29517,13962,304979,109818,61334
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,290912,184752,106160,136527,24016,4656,221880,402879,983,15513,189,26,65921,35804,18576,404903,153165,83319
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,200431,161548,38883,69533,21566,3952,540063,64234,1828,9551,24,16,91522,47694,24330,357864,160123,97684
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,304200,249581,54619,57495,62246,15084,30621,959185,1497,14770,140,29,107837,57932,48285,636524,239659,130513
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,149317,101380,47937,28232,32882,20484,8439,382006,572,555,44,17,35630,18644,12721,252378,90465,48802
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,407188,333151,74037,12228,10408,20095,42540,1177342,2746,12187,285,74,176409,132727,121856,693238,351561,190330
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,100890,73305,27585,15337,19312,7630,5592,290581,406,486,25,8,28247,15005,9633,194165,66945,35911
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,188420,138428,49992,49746,34080,10615,13840,535159,1109,9440,35,6,67368,40931,31286,342601,137032,80111
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,87721,63931,23790,47424,10835,3395,3116,262263,429,178,6,1,28617,16501,10782,170086,60752,35158
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,389684,244032,145652,140957,76364,16322,13180,1057005,1449,6140,55,7,97121,52407,41570,704145,239988,133519
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,159990,102317,57673,69173,29928,6193,4267,418076,460,1035,27,25,45383,24214,18240,266858,99870,57253
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,151912,101144,50768,69947,12199,1932,187621,220614,472,422,21,22,48359,31416,12647,263576,93189,52744
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,87212,68476,18736,41394,8810,2538,81026,200516,414,753,43,3,22591,13331,4923,188526,61604,33220
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,82974,56779,26195,39271,16296,1186,93931,133225,277,450,2094,3,19550,14521,5438,145931,53415,31084
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,243672,163845,79827,113020,11396,2641,489044,59771,1962,3418,106,57,55024,29657,17345,339145,140785,74757
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,144767,88755,56012,96147,4009,534,153898,156275,1208,3107,15,7,24066,14064,4733,203967,70767,39743
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,508622,417456,91166,68613,36873,10589,1289240,107489,12104,114272,470,1987,261852,159257,146501,816827,435895,275585
